#size threads sequential	Raw Join(1000) Raw JoinContext(1000) No Copy Join(1000) No Copy JoinContext(1000) Rayon	Raw Adaptive	OMP_sort
100000000 1 147666965.5	1152334133.8 616310337.3 997808436.9 617516944.1 171781754.5	38666119376.2	3785031891.000000
100000000 2 147896028.7	988679811.4 469008345.1 869021977.5 465360712.3 147629280.5	17224437903.4	2077091497.000000
100000000 3 147871742.3	682947323.2 500254025.3 577715496.1 419714975 109047600.6	4900070517.2	1424111583.000000
100000000 4 147878341.7	666842001.1 423539232.3 553826762.1 409759545.9 103851024.8	5144658772.8	1087032574.000000
100000000 5 148006001.1	570943231.8 444963404.1 445878043.7 358780239.8 92491123.6	2422118380.6	938836660.000000
100000000 6 147932087	533028045.6 429728061.8 463960856.3 362316577.8 90217422.9	2027491613	763346073.000000
100000000 7 147817970.7	474724987.7 396676472 384832146.6 327531998 83787587.8	1835079575.1	652181439.000000
100000000 8 147984761.6	467264854.1 359594012.5 379432893 324838395.9 82329166.8	1425961463	546153842.000000
100000000 9 147827116.1	442467549.7 364842460.5 354250167.9 336732063.8 78913620.6	1262601296.6	505741008.000000
100000000 10 147902968.3	 463752718.5 373793216 349507260.4 303894718.4 78070108	 1159545131.3	456163522.000000
100000000 11 147891039	 450006066.1 401704919.3 327898796.4 288569247.4 75137745.6	 1022319062.2	419629229.000000
100000000 12 147933323.4	 449194388.5 418085122.4 332122186.7 293192954.8 75030554.8	 1044321070	401427669.000000
100000000 13 148118749.7	 400613887.9 376708237 310513824.3 296266465 73081717.2	 977102117.2	383215490.000000
100000000 14 147813650.3	 426913441.1 389997303.1 316746753.3 297478047.6 72557967.7	 921481940.6	360532908.000000
100000000 15 147922568.2	 381442948.5 356302781.6 311123821.4 276494391 71353489.5	 873425612.6	347025277.000000
100000000 16 147951015.4	 414524212.6 331250604.1 336122885 283865711 70868241.9	 893921757	325521479.000000
100000000 17 147838319	 371887281.4 351217506.2 289293604.5 309760402.6 70875371.9	 910692731.2	324645362.000000
100000000 18 147789017.2	 374386643.8 371803352.2 330399791 288014860.3 70525006.2	 897843335.3	319370004.000000
100000000 19 147812709.8	 371932506 375471718.6 285289617.1 273612162.7 69339536.5	 928748302.1	319021919.000000
100000000 20 147837223.9	 399685035.1 396007300.4 285313141.8 283118149.7 69247373.3	 894643715.5	327421786.000000
100000000 21 147160410.6	 357716497.6 328414588.4 281040767.8 255934534.8 68790411.5	 939996982.2	317661027.000000
100000000 22 147639404	 356486708.3 343590463.3 314429865 259142611.8 68026058.8	 938023347.3	316568280.000000
100000000 23 147022177.3	 352138982.4 324853870.4 273564634.2 269969018.4 68422803.9	 1006003209.7	301224223.000000
100000000 24 148522857.1	 392786398.8 354044950.7 274574589.8 268684469.6 67138918.1	 960572019.4	292259836.000000
100000000 25 147368678.5	 352971994.7 314179478.8 272384185.4 259456568.3 67757901	 937492630.3	283618784.000000
100000000 26 147727669.2	 349740977.5 332043903.7 281798889.5 257190393.8 67959965.8	 964742800.8	283011348.000000
100000000 27 147652727.4	 345971409 314423982.7 267817661.2 268651326.2 67464795.3	 1034325519.5	282246669.000000
100000000 28 148618501	 347583846.9 321678535.9 265652101.5 258092867.4 67036401.7	 995695037.3	262340559.000000
100000000 29 147192912.2	 340053862.6 331446234.1 298788314.4 258799905 66866814.5	 1103221463.8	259786183.000000
100000000 30 148185356.4	 337196331.8 293951712.9 272550812.5 257380402.1 66330187.9	 1101041836.4	257674325.000000
100000000 31 147316254.6	 345103425.2 315895993.3 269506854.2 256212932.4 66417443.1	 1040072059	257386218.000000
100000000 32 147836551.7	 345023980.4 315581823.2 265936745.6 251314595.4 67049862.4	 1138825376.3	246898997.000000
