#size threads sequential	 Raw Join(1000) Raw JoinContext(1000) No Copy Join(1000) No Copy JoinContext(1000) Rayon	Raw Adaptive	OMP_sort
100000000 1 68347052.5 	259400134.5 79501533.4 179538972.2 79584302.4 105436793.1	71739313.9	3590482212.000000
100000000 2 68184315.6 	182581166.5 70321159.5 129791584.5 70323901 87746198.2	56936628.9	1938114416.000000
100000000 3 68280047.7 	114357699.9 46328373.7 82100600.3 46286637 56068345.7	37750022.8	1383232776.000000
100000000 4 68317329.6 	98785665.4 41971741.1 72091520.4 41379815.5 51766682.5	34271666.2	1002031621.000000
100000000 5 68285763.6 	79463632.2 36334365.5 58361162.1 37094208.4 42537907.9	29182258	888167958.000000
100000000 6 68195262.1 	72992047.8 34714940 54072637.5 36461428.2 40579985.7	27727550	715918213.000000
100000000 7 68208106.9 	61813563.6 29184606.4 46116068.6 29582199.2 35423421.1	25149394	578105422.000000
100000000 8 68205017.6 	58084937.4 28243032.4 43741329.3 28825402.5 34239500.3	23836664.9	514468259.000000
100000000 9 68217594.2 	52587329.5 26857620 39765657.9 27355740.2 31533130.2	22408817.4	464240634.000000
100000000 10 68268993.9	 50051834.9 27542286.6 38229943.7 27040099 30830585.7	 21900668.2	428741345.000000
100000000 11 68225207.1	 45815597.1 25216746.2 35096209.8 24780658.5 28779294.9	 20759377	385456223.000000
100000000 12 68235841.9	 44029588.2 24958715 34099628.1 25046949.1 28281944.1	 20463435.2	368055470.000000
100000000 13 68151170.5	 40803361.9 22866618.8 31833089.8 23623898.9 26786749.9	 19645269.1	358202478.000000
100000000 14 68235998.1	 39666157.7 22519958.4 31131892.4 22724410 26470031.6	 19531666.6	348443067.000000
100000000 15 68232357.8	 37403055.7 21403640.5 29583702 21102658 25405305.7	 18837026.8	320291807.000000
100000000 16 67905281.3	 36535399.8 21506669.8 29017140.5 20991688 25054268.2	 18765804.7	302807588.000000
100000000 17 68204133.6	 36356699 21683944.8 28905268.4 21505027.3 24973130.1	 18845966.4	298827664.000000
100000000 18 68186185.7	 35593707 21490306.5 28383032.5 21566444.8 24752342	 18713600.3	296433059.000000
100000000 19 67675568.2	 34034091.8 21229646.8 27310309.8 20856141.6 24027234.4	 18398171.7	294295244.000000
100000000 20 68386311.4	 33461040.4 21277724.6 27364963.7 20965478.5 24105994.7	 18231021.8	291897957.000000
100000000 21 67924396.6	 32321255.7 20523665.1 26164010 20696762.5 23278391.6	 18017985.5	299941832.000000
100000000 22 67778950.6	 31732616.9 20575134.3 25845127.1 20992643.1 23170944.7	 18608792.8	295294327.000000
100000000 23 68150647.3	 30795382.4 20149261.2 25180818.9 20614782.9 22700302.8	 17770469.4	288554410.000000
100000000 24 67818864.4	 30303082 20290493.8 24933434.1 20441256.5 22616043.5	 17790641.3	277072407.000000
100000000 25 68014156.9	 30976366.8 20740736 25223225 20818064.6 22809419	 18209419.2	273670069.000000
100000000 26 67578514.1	 30615883.9 21035438.7 25113082.5 20781531.7 22888018	 18038509.3	270316828.000000
100000000 27 67544195.9	 29805967.9 20145182.6 24538928.3 20967718.5 22369188.5	 18505799.6	263764812.000000
100000000 28 67642101.6	 29737137.7 19839012.7 24463988.9 20032255.3 22128095	 17911252.9	246752316.000000
100000000 29 67836918.8	 28892428.8 19424967.2 23957794.6 19694096.2 21989718.4	 17802531.9	246101543.000000
100000000 30 68206266.8	 28636646.6 20234837.1 23991953.3 19728055.1 22179364.4	 17911173.5	240543737.000000
100000000 31 67674676.5	 28106240.9 19565021.2 23560053.1 19277103.9 21776316.4	 17720391.9	239393194.000000
100000000 32 67614761 	 27992858.4 19564292.2 23589830.4 19834883.9 22068301.3	 17888358.8	235479224.000000
